,age,class,gender,height_cm,weight_kg,body fat,diastolic,systolic,gripForce,sit and bend forward_cm,sit-ups counts,broad jump_cm
count,2999.0,2999.0,2999.0,2999.0,2999.0,2999.0,2999.0,2999.0,2999.0,2999.0,2999.0,2999.0
mean,36.41047015671891,2.5175058352784263,0.6258752917639213,168.57925975325108,67.67250750250082,23.507624205401797,78.68312770923642,130.3791263754585,36.88599199733244,15.324898299433146,39.59219739913304,189.5015005001667
std,13.419909328678528,1.1083452834718177,0.48397677092628877,8.349178552841126,12.09345157906779,7.276981228720687,10.628873759354311,14.593353112761658,10.638784697252422,8.918322493536902,14.177544015422866,39.811881455405526
min,21.0,1.0,0.0,139.8,36.5,3.0,8.0,77.0,1.6,-25.0,0.0,0.0
25%,25.0,2.0,0.0,162.7,58.3,18.4,71.0,120.0,27.5,10.649999999999999,30.0,162.0
50%,32.0,3.0,1.0,169.3,67.8,23.0,79.0,130.0,37.8,16.3,41.0,192.0
75%,47.0,3.0,1.0,174.8,75.6,28.35,86.0,141.0,45.1,21.0,50.0,221.0
max,64.0,4.0,1.0,191.6,125.7,78.4,120.0,195.0,70.5,213.0,78.0,290.0
